75,117
76,114
77,114
78,114
79,113
80,113
81,113
82,113
83,113
84,113
85,114
86,114
87,114
88,115
89,115
90,115
91,115
92,115
93,115
94,114
95,114
96,113
97,113
98,113
99,113
100,113
101,113
102,112
103,112
104,112
105,112
106,112
107,113
108,113
109,113
110,113
111,113
112,113
113,113
114,113
115,113
116,113
117,113
118,113
119,113
120,113
121,113
122,113
123,113
124,113
125,113
126,113
127,113
128,113
129,112
130,112
131,112
132,112
133,112
134,112
135,113
136,113
137,113
138,113
139,113
140,113
141,114
142,114
143,114
144,114
145,115
146,115
147,116
148,116
149,118
150,137
75,117
76,121
77,122
78,124
79,125
80,126
81,126
82,127
83,128
84,128
85,129
86,129
87,130
88,130
89,131
90,131
91,132
92,133
93,133
94,134
95,134
96,135
97,135
98,136
99,136
100,137
101,137
102,137
103,138
104,138
105,138
106,138
107,139
108,139
109,140
110,140
111,140
112,140
113,141
114,141
115,141
116,141
117,142
118,142
119,142
120,142
121,142
122,142
123,142
124,143
125,143
126,143
127,143
128,143
129,143
130,144
131,144
132,144
133,144
134,145
135,145
136,145
137,145
138,145
139,145
140,145
141,145
142,145
143,145
144,144
145,143
146,143
147,142
148,141
149,140
150,137
